component,shape,homo
1,0.2,0.4666666666666667
2,0.2,0.6666666666666666
3,0.2,0.8
4,0.2,0.5333333333333333
5,0.2,0.5333333333333333
6,0.2,0.6
7,0.2,0.5333333333333333
8,0.2,0.7333333333333333
9,0.2,0.7333333333333333
10,0.2,0.6666666666666666
11,0.2,0.4666666666666667
12,0.2,0.6666666666666666
13,0.2,0.6
14,0.2,0.8666666666666667
15,0.2,0.7333333333333333
16,0.2,0.6333333333333333
17,0.2,0.6
18,0.2,0.6666666666666666
19,0.2,0.8
20,0.2,0.7333333333333333
21,0.2,0.7666666666666667
22,0.2,0.7333333333333333
23,0.2,0.8
24,0.2,0.6666666666666666
25,0.2,0.4
26,0.2,0.7333333333333333
27,0.2,0.7666666666666667
28,0.2,0.6333333333333333
29,0.2,0.6
30,0.2,0.7333333333333333
31,0.2,0.6666666666666666
32,0.2,0.6
33,0.2,0.4666666666666667
34,0.2,0.7333333333333333
35,0.2,0.5333333333333333
36,0.2,0.6
37,0.2,0.6
38,0.2,0.9333333333333333
39,0.2,0.7333333333333333
40,0.2,0.5333333333333333
41,0.2,0.4666666666666667
42,0.2,0.8
43,0.2,0.6
44,0.2,0.8333333333333334
45,0.2,0.8
46,0.2,0.7333333333333333
47,0.2,0.6666666666666666
48,0.2,1.0
49,0.2,0.8
50,0.2,0.9333333333333333
51,0.2,0.7333333333333333
52,0.2,0.4666666666666667
53,0.2,0.6666666666666666
54,0.2,0.7333333333333333
55,0.2,0.6666666666666666
56,0.2,0.5333333333333333
57,0.2,0.7
58,0.2,0.8
59,0.2,0.8
60,0.2,0.6666666666666666
61,0.2,0.5333333333333333
62,0.2,0.6
63,0.2,0.5333333333333333
64,0.2,0.6666666666666666
65,0.2,0.7333333333333333
66,0.2,0.7333333333333333
67,0.2,0.7333333333333333
68,0.2,0.6666666666666666
69,0.2,0.5333333333333333
70,0.2,0.7333333333333333
71,0.2,0.8
72,0.2,0.8
73,0.2,0.5333333333333333
74,0.2,0.6
75,0.2,0.5666666666666667
76,0.2,0.8666666666666667
77,0.2,0.6
78,0.2,0.6666666666666666
79,0.2,0.8
80,0.2,0.6
81,0.2,0.8666666666666667
82,0.2,0.7333333333333333
83,0.2,0.8666666666666667
84,0.2,0.6666666666666666
85,0.2,0.8
86,0.2,0.6333333333333333
87,0.2,0.7
88,0.2,0.5333333333333333
89,0.2,0.9333333333333333
90,0.2,0.6666666666666666
91,0.2,0.6
92,0.2,0.6666666666666666
93,0.2,0.6
94,0.2,0.6666666666666666
95,0.2,0.7333333333333333
96,0.2,0.6666666666666666
97,0.2,0.6666666666666666
98,0.2,0.7333333333333333
99,0.2,0.6
100,0.2,0.7
101,0.2,0.6666666666666666
102,0.2,0.5333333333333333
103,0.2,0.8666666666666667
104,0.2,0.4
105,0.2,0.5666666666666667
106,0.2,0.5333333333333333
107,0.2,0.6
108,0.2,0.7333333333333333
109,0.2,0.7333333333333333
110,0.2,0.7333333333333333
111,0.2,0.4666666666666667
112,0.2,0.6
113,0.2,0.7333333333333333
114,0.2,0.6666666666666666
115,0.2,0.6333333333333333
116,0.2,0.6
117,0.2,0.6666666666666666
118,0.2,0.7333333333333333
119,0.2,0.4666666666666667
120,0.2,0.6
121,0.2,0.6666666666666666
122,0.2,0.7333333333333333
123,0.2,0.4666666666666667
124,0.2,0.5333333333333333
125,0.2,0.4666666666666667
126,0.2,0.4666666666666667
127,0.2,0.7333333333333333
128,0.2,0.7333333333333333
